#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
C1CCOC1						Ring1_33_1	72.1057		[C;X4;R1]1[C;X4;R1][C;X4;R1][O;R1][C;X4;R1]1										[C;X4;R1]3[O;R1][C;X4;R1][C;X4;R1][C;X4;R1]3										[C;X4;R1]5(y)[O;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1COCC1						Ring1_33_2	72.1057		[C;X4;R1]1[C;X4;R1][O;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][O;R1][C;X4;R1][C;X4;R1]3										[C;X4;R1]5(y)[C;X4;R1](y)[O;R1][C;X4;R1](y)[C;X4;R1]5(y)
O1CCOC1						Ring1_36_1	74.0785		[O;R1]1[C;X4;R1][C;X4;R1][O;R1][C;X4;R1]1										[C;X4;R1]3[O;R1][C;X4;R1][C;X4;R1][O;R1]3										[C;X4;R1]5[O;R1][C;X4;R1](y)[C;X4;R1](y)[O;R1]5	
C1OCOC1						Ring1_36_2	74.0785		[C;X4;R1]1[O;R1][C;X4;R1][O;R1][C;X4;R1]1										[C;X4;R1]3[O;R1][C;X4;R1][O;R1][C;X4;R1]3										[C;X4;R1]5[O;R1][C;X4;R1](y)[O;R1][C;X4;R1]5(y)	
c1ccccc1					Ring1_38_1	78.1118		[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3								[c;X3;R1]5[c;X3;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R1][c;X3;R1]5(y)
c1cccnc1					Ring1_40_1	79.0999		[c;X3;R1]1[c;X3;R1;!$(c=O);!$(c=N)][c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]1					[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=N)][c;X3;R1]3					[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=N)](y)[c;X3;R1]5(y)
c1ccncc1					Ring1_40_2	79.0999		[c;X3;R1;!$(c=O);!$(c=N)]1[c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]1					[c;X3;R1]3[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=N)]3					[c;X3;R1]5[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O);!$(c=N)]5(y)
c1cnccc1					Ring1_40_3	79.0999		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O);!$(c=N)]1					[c;X3;R1;!$(c=O);!$(c=N)]3[c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]3					[c;X3;R1;!$(c=O);!$(c=N)]5[c;X3;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)][c;X3;R1]5(y)
n1cccnc1					Ring1_42_1	80.0880		[n;R1]1[c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]1						[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)][n;R1]3						[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O)][n;R1]5
c1cncnc1					Ring1_42_2	80.0880		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)]1						[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R1]3						[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1]5(y)
