#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
C1CC2CCC1C2					Ring2_6_3	96.1702		[C;X4;R1]1[C;X4;R1][C;X4;R2]2[C;X4;R1][C;X4;R1][C;X4;R2]1[C;X4;R2]2							[C;X4;R2]4[C;X4;R2]3[C;X4;R1][C;X4;R1][C;X4;R2]4[C;X4;R1][C;X4;R1]3							[C;X4;R2]6[C;X4;R2]5(y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2]6(y)[C;X4;R1](y)[C;X4;R1]5(y)
N12C(=O)CC2CC=C1				Ring2_23_1	109.1259	[N;R2]12[C;X3;R1](=O)[C;X4;R1][C;X4;R2]2[C;X4;R1][C;X3;R1]=[C;X3;R1]1							[C;X3;R1]3=[C;X3;R1][C;X4;R1][C;X4;R2]4[C;X4;R1][C;X3;R1](=O)[N;R2]34							[C;X3;R1]5=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R2]6(y)[C;X4;R1](y)[C;X3;R1](=O)[N;R2]56
C1C2CC(=O)N2C=C1				Ring2_23_2	109.1259	[C;X4;R1]1[C;X4;R2]2[C;X4;R1][C;X3;R1](=O)[N;R2]2[C;X3;R1]=[C;X3;R1]1							[C;X3;R1]3=[C;X3;R1][N;R2]4[C;X3;R1](=O)[C;X4;R1][C;X4;R2]4[C;X4;R1]3							[C;X3;R1]5=[C;X3;R1](y)[N;R2]6[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R2]6(y)[C;X4;R1]5(y)
C12CC(=O)N2C=CC1				Ring2_23_3	109.1259	[C;X4;R2]12[C;X4;R1][C;X3;R1](=O)[N;R2]2[C;X3;R1]=[C;X3;R1][C;X4;R1]1							[C;X4;R1]3[C;X3;R1]=[C;X3;R1][N;R2]4[C;X3;R1](=O)[C;X4;R1][C;X4;R2]34							[C;X4;R1]5[C;X3;R1](y)=[C;X3;R1](y)[N;R2]6[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R2]56(y)
C1C(=O)N2C=CCC12				Ring2_23_4	109.1259	[C;X4;R1]1[C;X3;R1](=O)[N;R2]2[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R2]12							[C;X4;R2]34[C;X4;R1][C;X3;R1]=[C;X3;R1][N;R2]4[C;X3;R1](=O)[C;X4;R1]3							[C;X4;R2]56[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[N;R2]6[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)N2C=CCC2C1				Ring2_23_5	109.1259	[C;X3;R1]1(=O)[N;R2]2[C;X3;R1]=[C;X3;R1][C;X4;R1][C;X4;R2]2[C;X4;R1]1							[C;X4;R1]3[C;X4;R2]4[C;X4;R1][C;X3;R1]=[C;X3;R1][N;R2]4[C;X3;R1]3(=O)							[C;X4;R1]5[C;X4;R2]6(y)[C;X4;R1](y)[C;X3;R1](y)=[C;X3;R1](y)[N;R2]6[C;X3;R1]5(=O)
C1CC2CCC(C1)N2					Ring2_36_1	111.1848	[C;X4;R1]1[C;X4;R1][C;X4;R2]2[C;X4;R1][C;X4;R1][C;X4;R2]([C;X4;R1]1)[N;R2]2						[N;R2]4[C;X4;R2]([C;X4;R1]3)[C;X4;R1][C;X4;R1][C;X4;R2]4[C;X4;R1][C;X4;R1]3						[N;R2]6[C;X4;R2](y)([C;X4;R1]5(y))[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2]6(y)[C;X4;R1](y)[C;X4;R1]5(y)
N1C(CCC2)CCC12					Ring2_36_2	111.1848	[N;R2]1[C;X4;R2]([C;X4;R1][C;X4;R1][C;X4;R1]2)[C;X4;R1][C;X4;R1][C;X4;R2]12						[C;X4;R2]34[C;X4;R1][C;X4;R1][C;X4;R2]([C;X4;R1][C;X4;R1][C;X4;R1]4)[N;R2]3						[C;X4;R2]56[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2](y)([C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]6(y))[N;R2]5(y)
N1C2CCCC1CC2					Ring2_36_3	111.1848	[N;R2]1[C;X4;R2]2[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R2]1[C;X4;R1][C;X4;R1]2						[C;X4;R1]4[C;X4;R1][C;X4;R2]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R2]4[N;R2]3						[C;X4;R1]6[C;X4;R1](y)[C;X4;R2]5(y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2]6(y)[N;R2]5(y)
N1C2CCC1CCC2					Ring2_36_4	111.1848	[N;R2]1[C;X4;R2]2[C;X4;R1][C;X4;R1][C;X4;R2]1[C;X4;R1][C;X4;R1][C;X4;R1]2						[C;X4;R1]4[C;X4;R1][C;X4;R1][C;X4;R2]3[C;X4;R1][C;X4;R1][C;X4;R2]4[N;R2]3						[C;X4;R1]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2]5(y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2]6(y)[N;R2]5(y)
N1C(C2)CCC1CC2					Ring2_36_5	111.1848	[N;R2]1[C;X4;R2]([C;X4;R1]2)[C;X4;R1][C;X4;R1][C;X4;R2]1[C;X4;R1][C;X4;R1]2						[C;X4;R1]4[C;X4;R1][C;X4;R2]3[C;X4;R1][C;X4;R1][C;X4;R2]([C;X4;R1]4)[N;R2]3						[C;X4;R1]6[C;X4;R1](y)[C;X4;R2]5(y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2](y)([C;X4;R1]6(y))[N;R2]5(y)
C1CN2CCC1CC2					Ring2_40_1	111.1848	[C;X4;R1]1[C;X4;R1][N;R2]2[C;X4;R2][C;X4;R2][C;X4;R2]1[C;X4;R1][C;X4;R1]2						[C;X4;R1]4[C;X4;R1][C;X4;R2]3[C;X4;R2][C;X4;R2][N;R2]4[C;X4;R1][C;X4;R1]3						[C;X4;R1]6[C;X4;R1](y)[C;X4;R2]5(y)[C;X4;R2](y)[C;X4;R2](y)[N;R2]6[C;X4;R1](y)[C;X4;R1]5(y)
C1CC2CCN1CC2					Ring2_40_2	111.1848	[C;X4;R1]1[C;X4;R1][C;X4;R2]2[C;X4;R2][C;X4;R2][N;R2]1[C;X4;R1][C;X4;R1]2						[C;X4;R1]4[C;X4;R1][N;R2]3[C;X4;R2][C;X4;R2][C;X4;R2]4[C;X4;R1][C;X4;R1]3						[C;X4;R1]6[C;X4;R1](y)[N;R2]5[C;X4;R2](y)[C;X4;R2](y)[C;X4;R2]6(y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CN(CC2)CCC12					Ring2_40_3	111.1848	[C;X4;R1]1[C;X4;R1][N;R2]([C;X4;R2][C;X4;R2]2)[C;X4;R1][C;X4;R1][C;X4;R2]12						[C;X4;R2]34[C;X4;R1][C;X4;R1][N;R2]([C;X4;R2][C;X4;R2]4)[C;X4;R1][C;X4;R1]3						[C;X4;R2]56[C;X4;R1](y)[C;X4;R1](y)[N;R2]([C;X4;R2](y)[C;X4;R2]6(y))[C;X4;R1](y)[C;X4;R1]5(y)
c1ccc2c(c1)ncc2					Ring2_54_1	116.1399	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[n;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][n;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]6[c;X3;R1](y)[n;R1](y)[c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cccc(cc2)c1n2					Ring2_54_2	116.1399	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1][c;X3;R1]2)[c;X3;R2]1[n;R1]2					[n;R1]4[c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1]4)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3					[n;R1]6[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cccc(c2)c1nc2					Ring2_54_3	116.1399	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1]2)[c;X3;R2]1[n;R1][c;X3;R1]2					[c;X3;R1]4[n;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1]4)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]6[n;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
n1ccc(c2)c1ccc2					Ring2_54_4	116.1399	[n;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1]4)[c;X3;R1][c;X3;R1][n;R1]3					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[n;R1]5(y)
n1ccc(cc2)c1cc2					Ring2_54_5	116.1399	[n;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1]4)[c;X3;R1][c;X3;R1][n;R1]3					[c;X3;R1]6[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[n;R1]5(y)
n1ccc(ccc2)c1c2					Ring2_54_6	116.1399	[n;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]2)[c;X3;R2]1[c;X3;R1]2					[c;X3;R1]4[c;X3;R2]3[c;X3;R2]([c;X3;R1][c;X3;R1][c;X3;R1]4)[c;X3;R1][c;X3;R1][n;R1]3					[c;X3;R1]6[c;X3;R2]5[c;X3;R2]([c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[n;R1]5(y)
c1ccc(nc2)c(c2)c1				Ring2_54_7	116.1399	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]([n;R1][c;X3;R1]2)[c;X3;R2]([c;X3;R1]2)[c;X3;R1]1					[c;X3;R1]3[c;X3;R2]([c;X3;R1]4)[c;X3;R2]([n;R1][c;X3;R1]4)[c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]5[c;X3;R2]([c;X3;R1]6(y))[c;X3;R2]([n;R1](y)[c;X3;R1]6(y))[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1nc2c(n1)cccc2					Ring2_56_1	117.1280	[c;X3;R1;!$(c=O);!$(c=S)]1[n;R1][c;X3;R2]2[c;X3;R2]([n;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([n;R1]3)[c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)]3			[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([n;R1]5)[c;X3;R2]6[n;R1](y)[c;X3;R1;!$(c=O);!$(c=S)]5(y)
c1c2ncnc2ccc1					Ring2_56_2	117.1280	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][c;X3;R2]6[c;X3;R1]5(y)
c1c2ncnc2ccc1					Ring2_56_3	117.1280	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1nc2c(n1)cccc2					Ring2_56_4	117.1280	[c;X3;R1;!$(c=O);!$(c=S)]1[n;R1][c;X3;R2]2[c;X3;R2]([n;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([n;R1]3)[c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)]3			[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([n;R1]5(y))[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=S)]5(y)
n1c2ccccc2nc1					Ring2_56_5	117.1280	[n;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)]1				[c;X3;R1;!$(c=O);!$(c=S)]3[n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1]3				[c;X3;R1;!$(c=O);!$(c=S)]5[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1]5(y)
c12ccccc2ncn1					Ring2_56_6	117.1280	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]1				[n;R1]3[c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[n;R1]5[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1ccc2c(c1)nnc2					Ring2_57_1	117.1280	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[n;R1][n;R1][c;X3;R1;!$(c=O)]2				[c;X3;R1;!$(c=O)]4[n;R1][n;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3				[c;X3;R1;!$(c=O)]6[n;R1][n;R1](y)[c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12cnnc2cccc1					Ring2_57_2	117.1280	[c;X3;R2]12[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]56
c1c2cnnc2ccc1					Ring2_57_3	117.1280	[c;X3;R1]1[c;X3;R2]2[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2nncc2ccc1					Ring2_57_4	117.1280	[c;X3;R1]1[c;X3;R2]2[n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][n;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12nncc2cccc1					Ring2_57_5	117.1280	[c;X3;R2]12[n;R1][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][n;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][n;R1](y)[c;X3;R2]56
c12ccccc2cnn1					Ring2_57_6	117.1280	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1;!$(c=O)][n;R1][n;R1]1					[n;R1]3[n;R1][c;X3;R1;!$(c=O)][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[n;R1]5[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1ccc2c(c1)occ2					Ring2_66_1	118.1326	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[o;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][o;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]6[c;X3;R1](y)[o;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12ccoc2cccc1					Ring2_66_2	118.1326	[c;X3;R2]12[c;X3;R1][c;X3;R1][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1c2ccoc2ccc1					Ring2_66_3	118.1326	[c;X3;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][o;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2occc2ccc1					Ring2_66_4	118.1326	[c;X3;R1]1[c;X3;R2]2[o;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][o;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[o;R1][c;X3;R2]6[c;X3;R1]5(y)
c12occc2cccc1					Ring2_66_5	118.1326	[c;X3;R2]12[o;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][o;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[o;R1][c;X3;R2]56
o1c2ccccc2cc1					Ring2_66_6	118.1326	[o;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[o;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[o;R1]5
n12ccccc2ncc1					Ring2_68_1	118.1359	[n;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][n;R2]34						[c;X3;R1]5[c;X3;R1](y)[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[n;R2]56
c1n2ccccc2nc1					Ring2_68_2	118.1359	[c;X3;R1]1[n;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1]1						[c;X3;R1]3[n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][n;R2]4[c;X3;R1]3						[c;X3;R1]5[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[n;R2]6[c;X3;R1]5(y)
c12nccn2cccc1					Ring2_68_3	118.1359	[c;X3;R2]12[n;R1][c;X3;R1][c;X3;R1][n;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][n;R2]4[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]34						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[n;R2]6[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]56
c1c2nccn2ccc1					Ring2_68_4	118.1359	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1][n;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][n;R2]4[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1]3						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[n;R2]6[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]6[c;X3;R1]5(y)
c1cc2nccn2cc1					Ring2_68_5	118.1359	[c;X3;R1]1[c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1][n;R2]2[c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][n;R2]4[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1]3						[c;X3;R1]5[c;X3;R1](y)[n;R2]6[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1]5(y)
n12ccnc2cccc1					Ring2_68_6	118.1359	[n;R2]12[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1						[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][n;R2]34						[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1](y)[c;X3;R1](y)[n;R2]56
C1Cc2c(C1)cccc2					Ring2_70_1	118.1757	[C;X4;R1]1[C;X4;R1][c;X3;R2]2[c;X3;R2]([C;X4;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([C;X4;R1]3)[c;X3;R2]4[C;X4;R1][C;X4;R1]3					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([C;X4;R1]5(y))[c;X3;R2]6[C;X4;R1](y)[C;X4;R1]5(y)
c1c2CCCc2ccc1					Ring2_70_2	118.1757	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12ccccc2CCC1					Ring2_70_3	118.1757	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1]1					[C;X4;R1]3[C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1c2ccccc2CC1					Ring2_70_4	118.1757	[C;X4;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1]1					[C;X4;R1]3[C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1]3					[C;X4;R1]5[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1]5(y)
n1cncc(n2)c1[nH]c2				Ring2_71_1	119.1041	[n;X2;R1]1[c;X3;R1;!$(c=O)][n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)][c;X3;R2]([n;X2;R1]2)[c;X3;R2]1[n;X3;R1][c;X3;R1;!$(c=O)]2	[c;X3;R1;!$(c=O)]4[n;X3;R1][c;X3;R2]3[c;X3;R2]([n;X2;R1]4)[c;X3;R1;!$(c=O);!$(c=S)][n;X2;R1][c;X3;R1;!$(c=O)][n;X2;R1]3	[c;X3;R1;!$(c=O)]6[n;X3;R1](y)[c;X3;R2]5[c;X3;R2]([n;X2;R1]6)[c;X3;R1;!$(c=O);!$(c=S)](y)[n;X2;R1][c;X3;R1;!$(c=O)](y)[n;X2;R1]5
